OID,lon,lat,FuelClass,class_id,split,source,role,NZTM_X,NZTM_Y,array_col,array_row,pre_B2,pre_B3,pre_B4,pre_B5,pre_B6,pre_B7,post_B2,post_B3,post_B4,post_B5,post_B6,post_B7,NBR_pre,NBR_post,dNBR,NDVI,NDMI,BSI,severity,dnbr_data,pre_source,grid_row,grid_col,elev,slope,northness,ephemeral_refugia,pre_analysis_valid,inside_aoi,clean_pre_mask,post_neg_refl,status,dist_to_main_m,ndvi_sd3,use_A3
268,172.600819,-43.622608,gorse_broom,2,train,main,4-class · CORE model (main 176),1567793.8439683495,5169964.466219126,73,144,0.05245000123977661,0.08932749927043915,0.10398499667644501,0.2776474952697754,0.2150299996137619,0.12590250372886658,0.10663875192403793,0.11945375055074692,0.12401875108480453,0.18036624789237976,0.24214500188827515,0.24467499554157257,0.3760252892971039,-0.15130002796649933,443.683349609375,0.4550516605377197,0.12709632515907288,-0.017073310911655426,2.0,1.0,2.0,-172332.5,52259.5,88.0,25.015262603759766,0.975965142250061,0.0,1.0,1.0,1.0,0.0,core,,0.02181321,True
269,172.589761,-43.621745,gorse_broom,2,train,main,4-class · CORE model (main 176),1566901.2038699675,5170055.963744789,44,141,0.028030000627040863,0.05674000084400177,0.05701500177383423,0.20031750202178955,0.11985249817371368,0.07046250253915787,0.0017399999778717756,0.04586375132203102,0.04305874928832054,0.10463125258684158,0.13566499948501587,0.14002375304698944,0.479559063911438,-0.14466288685798645,540.5800170898438,0.5568767786026001,0.25131961703300476,-0.12704366445541382,2.0,1.0,2.0,-172335.5,52230.5,138.0,23.218130111694336,0.6933139562606812,0.0,1.0,1.0,1.0,0.0,core,,0.03940277,True
270,172.590903,-43.611319,gorse_broom,2,train,main,4-class · CORE model (main 176),1566987.639153305,5171214.33458107,46,103,0.031027499586343765,0.06441249698400497,0.05814250186085701,0.265547513961792,0.13308000564575195,0.0762374997138977,0.08447375148534775,0.09221500158309937,0.09284750372171402,0.16922874748706818,0.21696874499320984,0.22847749292850494,0.5538862347602844,-0.1489761620759964,619.220458984375,0.6407519578933716,0.33230897784233093,-0.21597589552402496,2.0,1.0,2.0,-172373.5,52232.5,72.0,16.06781768798828,0.9853094816207886,0.0,1.0,1.0,1.0,0.0,core,,0.014006491,True
61,172.600936,-43.624802,gorse_broom,2,valid,main,4-class · CORE model (main 176),1567804.454509472,5169720.844651749,74,152,0.037792500108480453,0.0702425017952919,0.07098499685525894,0.2769325077533722,0.16082750260829926,0.09111499786376953,0.16132250428199768,0.17540250718593597,0.18013249337673187,0.23038874566555023,0.2994549870491028,0.32042375206947327,0.5048736929893494,-0.16345852613449097,584.6903076171875,0.5919435024261475,0.26522523164749146,-0.1517050564289093,2.0,1.0,2.0,-172324.5,52260.5,180.0,17.955110549926758,0.8449932336807251,0.0,1.0,1.0,1.0,0.0,core,,0.01960648,True
70,172.621078,-43.619085,gorse_broom,2,valid,main,4-class · CORE model (main 176),1569426.5679546187,5170363.389599198,128,131,0.03105499967932701,0.0608924999833107,0.05294499918818474,0.3411175012588501,0.14429999887943268,0.07417500019073486,0.04843499884009361,0.05874750018119812,0.06356000155210495,0.10651499778032303,0.1361600011587143,0.13450999557971954,0.6427819132804871,-0.11614977568387985,675.2897338867188,0.7312862873077393,0.4054602384567261,-0.30720430612564087,3.0,1.0,2.0,-172345.5,52314.5,370.0,12.561197280883789,0.7253498435020447,0.0,1.0,1.0,1.0,0.0,core,,0.046477832,True
72,172.619648,-43.618602,gorse_broom,2,valid,main,4-class · CORE model (main 176),1569310.9422423828,5170416.504407262,124,129,0.032705001533031464,0.047142498195171356,0.05374249815940857,0.15505249798297882,0.15128499269485474,0.08561500161886215,0.04100999981164932,0.050882499665021896,0.05547500029206276,0.08676999807357788,0.10244499891996384,0.10593750327825546,0.2885204553604126,-0.09946421533823013,304.3427429199219,0.4852127730846405,0.012298527173697948,0.0439680740237236,2.0,1.0,2.0,-172347.5,52310.5,350.0,16.532745361328125,0.5787938833236694,0.0,1.0,1.0,1.0,0.0,core,,0.07802086,True
73,172.616049,-43.60218,gorse_broom,2,valid,main,4-class · CORE model (main 176),1569012.1231546132,5172239.000847256,114,69,0.03666500002145767,0.061387501657009125,0.059187501668930054,0.25946998596191406,0.13297000527381897,0.0773100033402443,-0.09635250270366669,-0.027822500094771385,-0.033900000154972076,0.04565750062465668,0.15970000624656677,0.17114000022411346,0.5408872365951538,-0.5788004994392395,1036.0457763671875,0.6285196542739868,0.32234227657318115,-0.2129410207271576,3.0,1.0,2.0,-172407.5,52300.5,154.0,19.430599212646484,0.7784550189971924,0.0,1.0,1.0,1.0,1.0,core,,0.043471217,True
75,172.590599,-43.621841,gorse_broom,2,valid,main,4-class · CORE model (main 176),1566968.8677842536,5170045.63557265,46,142,0.029349999502301216,0.05756499990820885,0.059379998594522476,0.21332499384880066,0.12526999413967133,0.0722775012254715,0.06097500026226044,0.0675475001335144,0.07252500206232071,0.11636000126600266,0.1461700052022934,0.16311000287532806,0.4938594698905945,-0.16728092730045319,577.4984741210938,0.5645111203193665,0.2600599527359009,-0.13578657805919647,2.0,1.0,2.0,-172334.5,52232.5,168.0,19.39797592163086,0.4914741516113281,0.0,1.0,1.0,1.0,0.0,core,,0.02752898,True
85,172.61363,-43.621967,gorse_broom,2,valid,main,4-class · CORE model (main 176),1568827.112517864,5170040.544475794,108,142,0.032760001718997955,0.06405500322580338,0.05976499989628792,0.31735751032829285,0.14025749266147614,0.07620999962091446,0.0088900001719594,0.029789999127388,0.028456250205636024,0.06116750091314316,0.09478624910116196,0.10537374764680862,0.6127220988273621,-0.2654372453689575,794.5173950195312,0.6830472946166992,0.387006551027298,-0.2728305459022522,3.0,1.0,2.0,-172334.5,52294.5,306.0,15.403200149536133,0.8818752765655518,0.0,1.0,1.0,1.0,0.0,core,,0.033033837,True
86,172.601218,-43.626538,gorse_broom,2,valid,main,4-class · CORE model (main 176),1567828.1314812582,5169528.152692755,74,159,0.040130000561475754,0.07194750010967255,0.0719200000166893,0.28680500388145447,0.1489199995994568,0.0869624987244606,0.10083624720573425,0.11814749985933304,0.12196999788284302,0.17107124626636505,0.2575312554836273,0.28314751386642456,0.5346705913543701,-0.24674509465694427,697.7738037109375,0.5990242958068848,0.3164495825767517,-0.19368353486061096,3.0,1.0,2.0,-172317.5,52260.5,244.0,20.4676570892334,0.8219692707061768,0.0,1.0,1.0,1.0,0.0,core,,0.051492933,True
