PID,post_B2,post_B3,post_B4,post_B8,post_B11,post_B12,NBR_pre,NBR_post,dNBR
45,0.04179999977350235,0.05700000002980232,0.0697999969124794,0.14319999516010284,0.16269999742507935,0.12370000034570694,0.5158084630966187,0.07306105643510818,442.7474365234375
46,0.044599998742341995,0.047600001096725464,0.049400001764297485,0.11760000139474869,0.18125000596046448,0.131400004029274,0.5768435597419739,-0.05542169511318207,632.2652587890625
47,0.05779999867081642,0.05860000103712082,0.07109999656677246,0.10159999877214432,0.2578999996185303,0.3199000060558319,0.41385817527770996,-0.5179122090339661,931.7703857421875
48,0.0430000014603138,0.046799998730421066,0.06159999966621399,0.08739999681711197,0.18330000340938568,0.17870000004768372,0.038636721670627594,-0.34310412406921387,381.7408447265625
49,0.038350000977516174,0.05204999819397926,0.05934999883174896,0.14319999516010284,0.2212499976158142,0.15915000438690186,0.33794695138931274,-0.05275346338748932,390.7004089355469
50,0.0689999982714653,0.06904999911785126,0.0763000026345253,0.15780000388622284,0.19949999451637268,0.19625000655651093,0.3562542796134949,-0.10860048234462738,464.8547668457031
51,0.024399999529123306,0.031599998474121094,0.04089999943971634,0.07034999877214432,0.15209999680519104,0.16459999978542328,0.28897443413734436,-0.401149183511734,690.1236572265625
52,0.04320000112056732,0.040300000458955765,0.04839999973773956,0.0674000009894371,0.1673000007867813,0.19140000641345978,0.4593406617641449,-0.4791344702243805,938.4751586914062
53,0.026200000196695328,0.02785000018775463,0.032249998301267624,0.05460000038146973,0.11309999972581863,0.11505000293254852,-0.11779844760894775,-0.3563218414783478,238.52340698242188
54,0.043150000274181366,0.0568000003695488,0.06300000101327896,0.15569999814033508,0.2199999988079071,0.18815000355243683,0.5523848533630371,-0.09437256306409836,646.7573852539062
55,0.055799998342990875,0.06360000371932983,0.07689999788999557,0.12559999525547028,0.26170000433921814,0.30809998512268066,-0.17382128536701202,-0.42079779505729675,246.97650146484375
56,0.06710000336170197,0.07000000029802322,0.08914999663829803,0.15060000121593475,0.20765000581741333,0.19075000286102295,0.05756776034832001,-0.11762121319770813,175.18898010253906
57,0.05310000106692314,0.0596500001847744,0.07240000367164612,0.13420000672340393,0.26170000433921814,0.2326499968767166,-0.08194737136363983,-0.2683658003807068,186.4184112548828
58,0.05050000175833702,0.06340000033378601,0.07850000262260437,0.1793999969959259,0.26350000500679016,0.2240999937057495,0.2799631953239441,-0.11078066378831863,390.7438659667969
59,0.05900000035762787,0.06379999965429306,0.07880000025033951,0.10419999808073044,0.2524000108242035,0.30799999833106995,-0.02332407236099243,-0.49442020058631897,471.09613037109375
60,0.055799998342990875,0.07890000194311142,0.10040000081062317,0.24899999797344208,0.2410999983549118,0.1923999935388565,0.5974886417388916,0.12822838127613068,469.2602844238281
61,0.06499999761581421,0.08959999680519104,0.09920000284910202,0.2207999974489212,0.295199990272522,0.19679999351501465,0.26687780022621155,0.057471275329589844,209.4065399169922
62,0.020600000396370888,0.025350000709295273,0.033900000154972076,0.05939999967813492,0.14685000479221344,0.16075000166893005,0.32094427943229675,-0.46036794781684875,781.312255859375
63,0.032999999821186066,0.03880000114440918,0.0494999997317791,0.08640000224113464,0.13410000503063202,0.1454000025987625,0.2039603888988495,-0.25452977418899536,458.49017333984375
64,0.05225000157952309,0.06989999860525131,0.07795000076293945,0.18490000069141388,0.19370000064373016,0.14730000495910645,0.5057699680328369,0.11318481713533401,392.5851745605469
65,0.029600000008940697,0.033900000154972076,0.0421999990940094,0.07639999687671661,0.156700000166893,0.15080000460147858,0.2714148163795471,-0.3274648189544678,598.879638671875
66,0.07180000096559525,0.07739999890327454,0.08799999952316284,0.12680000066757202,0.20110000669956207,0.2378000020980835,0.0882694348692894,-0.30444324016571045,392.712646484375
67,0.0333000011742115,0.03400000184774399,0.03929999843239784,0.06859999895095825,0.14560000598430634,0.1551000028848648,0.3841765522956848,-0.3866786062717438,770.8551635742188
68,0.04600000008940697,0.053599998354911804,0.06679999828338623,0.1136000007390976,0.22949999570846558,0.25429999828338623,-0.009200717322528362,-0.38244086503982544,373.2401428222656
69,0.05050000175833702,0.046799998730421066,0.061000000685453415,0.09109999984502792,0.20010000467300415,0.19480000436306,0.12063203006982803,-0.3627142608165741,483.3462829589844
70,0.043299999088048935,0.05939999967813492,0.06599999964237213,0.15479999780654907,0.21469999849796295,0.1412999927997589,0.5605815649032593,0.04559272527694702,514.9888916015625
71,0.04230000078678131,0.05310000106692314,0.05999999865889549,0.1420000046491623,0.19750000536441803,0.16850000619888306,0.19404694437980652,-0.08534621447324753,279.3931579589844
72,0.03125,0.039250001311302185,0.04899999871850014,0.08470000326633453,0.15324999392032623,0.16075000166893005,0.19870677590370178,-0.30983906984329224,508.54583740234375
73,0.049400001764297485,0.060600001364946365,0.0726500004529953,0.1185000017285347,0.20080000162124634,0.21565000712871552,0.17193476855754852,-0.29073768854141235,462.6724853515625
74,0.055399999022483826,0.0575999990105629,0.06650000065565109,0.10339999943971634,0.21580000221729279,0.1843000054359436,-0.1719653159379959,-0.2811957001686096,109.23038482666016
75,0.03929999843239784,0.05380000174045563,0.055799998342990875,0.1729000061750412,0.21535000205039978,0.15964999794960022,0.49465176463127136,0.03984365612268448,454.80810546875
76,0.052149999886751175,0.06515000015497208,0.08079999685287476,0.1843000054359436,0.29980000853538513,0.2536500096321106,-0.003450652351602912,-0.15835142135620117,154.9007568359375
77,0.034299999475479126,0.03954999893903732,0.02775000035762787,0.19259999692440033,0.13944999873638153,0.08184999972581863,0.6875352263450623,0.40353432297706604,284.00091552734375
78,0.03974999859929085,0.038600001484155655,0.05570000037550926,0.09655000269412994,0.18604999780654907,0.15929999947547913,0.5864652395248413,-0.24526087939739227,831.7261352539062
79,0.03125,0.037450000643730164,0.046950001269578934,0.08820000290870667,0.15770000219345093,0.16519999504089355,0.3484419286251068,-0.303867369890213,652.309326171875
