PID,FuelClass,class_id,split,block_id,elev,slope,northness,chm,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NBR,NDWI,NDRE,BSI
141,exotic_pine,3,train,100008,107.05999755859375,35.828800201416016,0.8812469840049744,30.172000885009766,0.022099999710917473,0.04179999977350235,0.049400001764297485,0.08320000022649765,0.19030000269412994,0.226500004529953,0.251800000667572,0.24869999289512634,0.1696999967098236,0.09210000187158585,0.671978771686554,0.4643791615962982,-0.7152588367462158,0.5032835602760315,-0.11115618795156479
142,exotic_pine,3,train,7,261.3699951171875,20.923500061035156,0.6702330112457275,0.17999300360679626,0.05779999867081642,0.09000000357627869,0.11060000211000443,0.17270000278949738,0.24070000648498535,0.2703999876976013,0.3086000084877014,0.32739999890327454,0.2939999997615814,0.17810000479221344,0.472328245639801,0.2681323289871216,-0.5484194755554199,0.2823602855205536,0.04954603686928749
143,broadleaf_scrub,4,train,300006,180.19000244140625,31.516599655151367,0.9927409887313843,0.3069919943809509,0.03739999979734421,0.06430000066757202,0.0689999982714653,0.12189999967813492,0.22705000638961792,0.2672500014305115,0.30379998683929443,0.310699999332428,0.24165000021457672,0.13654999434947968,0.6298283338546753,0.37981152534484863,-0.6506384015083313,0.4272961914539337,-0.04686659201979637
144,broadleaf_scrub,4,train,200003,342.6700134277344,10.685400009155273,0.8678349852561951,0.09399410337209702,0.051750000566244125,0.0694499984383583,0.07119999825954437,0.1051499992609024,0.1761000007390976,0.20720000565052032,0.23880000412464142,0.24255000054836273,0.16664999723434448,0.09880000352859497,0.540645182132721,0.4146919250488281,-0.5493917465209961,0.38857394456863403,-0.0997350662946701
145,broadleaf_scrub,4,train,200002,356.19000244140625,9.314709663391113,-0.2514840066432953,0.07400509715080261,0.02800000086426735,0.05615000054240227,0.042649999260902405,0.12099999934434891,0.3183000087738037,0.39739999175071716,0.4284000098705292,0.4547500014305115,0.18320000171661377,0.09009999781847,0.8189151883125305,0.6524590253829956,-0.7682386040687561,0.5595194697380066,-0.3379260003566742
146,broadleaf_scrub,4,train,600006,413.3599853515625,18.015199661254883,0.5458120107650757,1.9290200471878052,0.013749999925494194,0.03384999930858612,0.020600000396370888,0.08205000311136246,0.2724500000476837,0.3389500081539154,0.31700000166893005,0.3715499937534332,0.1412000060081482,0.06994999945163727,0.8779621124267578,0.6384545564651489,-0.8070400357246399,0.5887733101844788,-0.3430108428001404
147,broadleaf_scrub,4,valid,3,188.77999877929688,17.03059959411621,0.7875990271568298,0.5789949893951416,0.03139999881386757,0.06679999828338623,0.05790000036358833,0.14010000228881836,0.2833999991416931,0.3368000090122223,0.3707999885082245,0.3882000148296356,0.20090000331401825,0.0989999994635582,0.7298810482025146,0.5785440802574158,-0.6946983337402344,0.4515560567378998,-0.21694400906562805
148,broadleaf_scrub,4,train,100009,86.47000122070312,27.73539924621582,-0.6109769940376282,2.2980000972747803,0.04650000110268593,0.08470000326633453,0.08055000007152557,0.16854999959468842,0.3495999872684479,0.41324999928474426,0.4375999867916107,0.477400004863739,0.2533999979496002,0.13535000383853912,0.6890861392021179,0.5275329351425171,-0.6756653189659119,0.443867027759552,-0.18354623019695282
149,broadleaf_scrub,4,train,200003,336.20001220703125,18.728300094604492,0.9991769790649414,0.18298299610614777,0.03359999880194664,0.05180000141263008,0.05860000103712082,0.11339999735355377,0.21979999542236328,0.260699987411499,0.2930000126361847,0.3199999928474426,0.1728000044822693,0.08649999648332596,0.6666666865348816,0.5441370606422424,-0.6995359659194946,0.4419291615486145,-0.17060932517051697
150,broadleaf_scrub,4,train,700000,230.63999938964844,33.230201721191406,-0.8547880053520203,2.3050100803375244,0.021700000390410423,0.06199999898672104,0.03099999949336052,0.12380000203847885,0.4172999858856201,0.5013999938964844,0.5551999807357788,0.5425999760627747,0.18649999797344208,0.07909999787807465,0.8942340612411499,0.7505912184715271,-0.7990926504135132,0.6353460550308228,-0.45241689682006836
151,broadleaf_scrub,4,train,400005,254.9600067138672,26.037900924682617,0.5884789824485779,6.481979846954346,0.01590000092983246,0.05180000141263008,0.026599999517202377,0.10989999771118164,0.34709998965263367,0.43959999084472656,0.4968000054359436,0.4733000099658966,0.19370000064373016,0.09740000218153,0.8983569145202637,0.672164261341095,-0.8111556768417358,0.6377122402191162,-0.3989085853099823
152,broadleaf_scrub,4,train,400006,258.8999938964844,40.198699951171875,0.4053109884262085,0.35400399565696716,0.0406000018119812,0.06129999831318855,0.0706000030040741,0.1039000004529953,0.17870000004768372,0.20550000667572021,0.22259999811649323,0.2475000023841858,0.23399999737739563,0.1388999968767166,0.5184174180030823,0.23153527081012726,-0.5681577920913696,0.36355283856391907,0.07291299849748611
153,broadleaf_scrub,4,train,600003,395.67999267578125,9.645279884338379,0.8973439931869507,9.757019996643066,0.025499999523162842,0.0507499985396862,0.034699998795986176,0.09144999831914902,0.26409998536109924,0.33169999718666077,0.35499998927116394,0.36880001425743103,0.16204999387264252,0.07999999821186066,0.8219143152236938,0.6321839094161987,-0.7498459815979004,0.5903236865997314,-0.3183196187019348
154,broadleaf_scrub,4,valid,100002,232.4199981689453,38.06769943237305,-0.1548130065202713,1.8109999895095825,0.0694499984383583,0.10000000149011612,0.11225000023841858,0.18240000307559967,0.3156999945640564,0.36924999952316284,0.38960000872612,0.43230000138282776,0.24695000052452087,0.13510000705718994,0.5526551604270935,0.4850390553474426,-0.5915032625198364,0.36223775148391724,-0.12202872335910797
155,broadleaf_scrub,4,train,200008,66.37999725341797,22.049800872802734,0.24689100682735443,1.3200000524520874,0.04154999926686287,0.06889999657869339,0.06310000270605087,0.10975000262260437,0.23180000483989716,0.2707499861717224,0.2700999975204468,0.3018999993801117,0.21729999780654907,0.1266999989748001,0.6212484836578369,0.3613911271095276,-0.5935103297233582,0.42214030027389526,-0.05278269946575165
156,broadleaf_scrub,4,train,200002,316.0299987792969,21.676599502563477,-0.889976978302002,0.1809999942779541,0.031099999323487282,0.05920000001788139,0.05640000104904175,0.11990000307559967,0.30480000376701355,0.3774000108242035,0.373199999332428,0.42910000681877136,0.18619999289512634,0.09709999710321426,0.7374301552772522,0.5870720744132996,-0.7261794805526733,0.5136889219284058,-0.24996136128902435
157,broadleaf_scrub,4,valid,3,194.74000549316406,23.317100524902344,0.3422130048274994,0.17700199782848358,0.04699999839067459,0.0737999975681305,0.08640000224113464,0.1445000022649765,0.23954999446868896,0.27619999647140503,0.3000999987125397,0.3250499963760376,0.20160000026226044,0.1067499965429306,0.5529107451438904,0.47523659467697144,-0.6052420735359192,0.3499774932861328,-0.09305620193481445
158,broadleaf_scrub,4,valid,3,198.0399932861328,19.832500457763672,0.42629700899124146,0.5559999942779541,0.032600000500679016,0.05979999899864197,0.05979999899864197,0.1316000074148178,0.26339998841285706,0.3165000081062317,0.3407999873161316,0.37720000743865967,0.20149999856948853,0.10109999775886536,0.7014478445053101,0.5424304008483887,-0.7014478445053101,0.44284501671791077,-0.17661885917186737
159,broadleaf_scrub,4,train,4,178.41000366210938,21.35759925842285,0.5050709843635559,0.08599849790334702,0.03400000184774399,0.07029999792575836,0.05609999969601631,0.1429000049829483,0.2775000035762787,0.3237999975681305,0.3675999939441681,0.37689998745918274,0.20190000534057617,0.10450000315904617,0.7351899743080139,0.5572971701622009,-0.6789221167564392,0.4401566982269287,-0.21770769357681274
160,broadleaf_scrub,4,valid,100002,275.2699890136719,17.651500701904297,-0.1885479986667633,0.24401900172233582,0.037300001829862595,0.06809999793767929,0.06319999694824219,0.1485999971628189,0.2572999894618988,0.3001999855041504,0.3391999900341034,0.35830000042915344,0.20270000398159027,0.10339999943971634,0.6858847141265869,0.5327609777450562,-0.6656027436256409,0.39073389768600464,-0.1721668690443039
161,broadleaf_scrub,4,train,100004,221.9199981689453,27.117900848388672,0.9738950133323669,0.2610020041465759,0.03420000150799751,0.07779999822378159,0.0658000037074089,0.1665000021457672,0.32679998874664307,0.36730000376701355,0.3880000114440918,0.42179998755455017,0.24160000681877136,0.12860000133514404,0.7100043892860413,0.502129316329956,-0.6659510731697083,0.39945897459983826,-0.15734648704528809
162,broadleaf_scrub,4,valid,100010,76.87000274658203,32.56370162963867,0.5637009739875793,0.39899399876594543,0.07694999873638153,0.10520000010728836,0.14959999918937683,0.1886499971151352,0.22939999401569366,0.259550005197525,0.3125,0.3088499903678894,0.34005001187324524,0.21365000307559967,0.3525210916996002,0.18787416815757751,-0.4962891936302185,0.2471316009759903,0.11398021876811981
163,broadleaf_scrub,4,train,200009,95.33999633789062,30.465900421142578,-0.856365978717804,0.853003978729248,0.04769999906420708,0.09070000052452087,0.0856499969959259,0.17865000665187836,0.3559499979019165,0.41670000553131104,0.4472000002861023,0.47874999046325684,0.2809999883174896,0.15189999341964722,0.6785211563110352,0.49290603399276733,-0.6627625823020935,0.42909640073776245,-0.1488596349954605
164,broadleaf_scrub,4,train,200009,142.50999450683594,30.69219970703125,-0.36010798811912537,1.6679999828338623,0.04500000178813934,0.08744999766349792,0.0885000005364418,0.16740000247955322,0.311599999666214,0.3743000030517578,0.42160001397132874,0.4337500035762787,0.25975000858306885,0.14399999380111694,0.6530092358589172,0.4908062517642975,-0.6564188599586487,0.43157896399497986,-0.14524145424365997
165,broadleaf_scrub,4,train,100003,229.2100067138672,25.595500946044922,0.9994239807128906,0.20900000631809235,0.04619999974966049,0.08160000294446945,0.08739999681711197,0.16019999980926514,0.2705000042915344,0.3172999918460846,0.3479999899864197,0.384799987077713,0.24860000610351562,0.13910000026226044,0.598530113697052,0.4288646876811981,-0.6201117038726807,0.3695395290851593,-0.0797041729092598
166,broadleaf_scrub,4,train,200003,343.8599853515625,13.245200157165527,0.5098080039024353,0.16900600492954254,0.03440000116825104,0.061000000685453415,0.05739999935030937,0.1257999986410141,0.25690001249313354,0.30559998750686646,0.3375999927520752,0.3668999969959259,0.18880000710487366,0.09759999811649323,0.7093670964241028,0.5514705777168274,-0.6939287185668945,0.45705652236938477,-0.20349399745464325
167,broadleaf_scrub,4,train,200009,113.41000366210938,25.082399368286133,-0.5448009967803955,2.5649900436401367,0.03655000030994415,0.07620000094175339,0.05719999969005585,0.14319999516010284,0.38190001249313354,0.45829999446868896,0.46720001101493835,0.5011000037193298,0.226500004529953,0.11734999716281891,0.7818459272384644,0.5984945893287659,-0.7195436358451843,0.5307995080947876,-0.2794463038444519
168,broadleaf_scrub,4,train,100004,209.4600067138672,20.115299224853516,0.9795169830322266,0.2919920086860657,0.04089999943971634,0.07500000298023224,0.06449999660253525,0.1573999971151352,0.36970001459121704,0.41999998688697815,0.46480000019073486,0.484499990940094,0.23669999837875366,0.12110000103712082,0.7562819123268127,0.5866189002990723,-0.7221192717552185,0.49405336380004883,-0.2534390985965729
169,broadleaf_scrub,4,train,200008,80.81999969482422,33.22829818725586,-0.6131479740142822,4.460999965667725,0.011900000274181366,0.04430000111460686,0.01979999989271164,0.10130000114440918,0.3762499988079071,0.47099998593330383,0.4747999906539917,0.5069500207901001,0.1835000067949295,0.08164999634027481,0.9199352860450745,0.7065324783325195,-0.829319953918457,0.6483249068260193,-0.41072461009025574
170,broadleaf_scrub,4,valid,300008,214.92999267578125,45.840999603271484,-0.5680720210075378,2.4180099964141846,0.026249999180436134,0.06769999861717224,0.0377499982714653,0.11694999784231186,0.35464999079704285,0.4327000081539154,0.5293999910354614,0.47769999504089355,0.20035000145435333,0.09790000319480896,0.8668782711029053,0.6878686547279358,-0.7732372879981995,0.6381217837333679,-0.4000629782676697
171,broadleaf_scrub,4,train,600000,296.7699890136719,34.85960006713867,-0.7160199880599976,1.9250199794769287,0.025100000202655792,0.07599999755620956,0.02879999950528145,0.1379999965429306,0.4625000059604645,0.5616000294685364,0.578000009059906,0.5917999744415283,0.18240000307559967,0.07649999856948853,0.9050757884979248,0.7662338018417358,-0.7675840854644775,0.6145251393318176,-0.48127225041389465
172,broadleaf_scrub,4,train,600003,398.19000244140625,13.255200386047363,0.9710659980773926,0.20199599862098694,0.019999999552965164,0.04255000129342079,0.03020000085234642,0.09144999831914902,0.26409998536109924,0.33169999718666077,0.32670000195503235,0.36880001425743103,0.16204999387264252,0.07999999821186066,0.830764889717102,0.6065896153450012,-0.7695328593254089,0.5625971555709839,-0.2865757644176483
173,broadleaf_scrub,4,valid,100010,71.18000030517578,36.237998962402344,-0.8988159894943237,1.3020000457763672,0.031300000846385956,0.05590000003576279,0.03799999877810478,0.10899999737739563,0.3023500144481659,0.36774998903274536,0.4065999984741211,0.4052000045776367,0.19269999861717224,0.1050499975681305,0.8290598392486572,0.5893677473068237,-0.758270263671875,0.5771916508674622,-0.30990129709243774
174,broadleaf_scrub,4,valid,200010,171.64999389648438,19.920000076293945,-0.07933759689331055,0.2270050048828125,0.01484999991953373,0.03709999844431877,0.0251499991863966,0.07684999704360962,0.21299999952316284,0.260699987411499,0.2937000095844269,0.2933500111103058,0.16134999692440033,0.08094999939203262,0.8422455787658691,0.5678633451461792,-0.7756953239440918,0.5852112174034119,-0.24654078483581543
175,broadleaf_scrub,4,valid,3,204.0399932861328,29.340200424194336,0.8606129884719849,0.3940120041370392,0.03280000016093254,0.06700000166893005,0.05860000103712082,0.13840000331401825,0.287200003862381,0.3375999927520752,0.3675999939441681,0.39259999990463257,0.21070000529289246,0.1080000028014183,0.7250117063522339,0.5458368062973022,-0.6916704773902893,0.4529644250869751,-0.19575928151607513
176,broadleaf_scrub,4,train,600002,413.7799987792969,37.4385986328125,0.48980000615119934,1.235990047454834,0.021649999544024467,0.04645000025629997,0.03440000116825104,0.10530000180006027,0.27364999055862427,0.3246000111103058,0.33980000019073486,0.36660000681877136,0.1805499941110611,0.09030000120401382,0.8161410689353943,0.5800976753234863,-0.759482204914093,0.5268478989601135,-0.2541637718677521
177,broadleaf_scrub,4,train,100003,222.6199951171875,17.441200256347656,0.6405680179595947,0.2270050048828125,0.03269999846816063,0.066600002348423,0.05979999899864197,0.15029999613761902,0.28600001335144043,0.33799999952316284,0.3659999966621399,0.3978999853134155,0.2092999964952469,0.10559999942779541,0.7191169857978821,0.5521628260612488,-0.6920943260192871,0.4177803695201874,-0.19407008588314056
