FID,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NBR,NDWI,NDRE,BSI
32,0.015250000171363354,0.037700001150369644,0.022350000217556953,0.061799999326467514,0.2121499925851822,0.2592499852180481,0.2815999984741211,0.28949999809265137,0.11219999939203262,0.05220000073313713,0.852936327457428,0.6872378587722778,-0.763858437538147,0.6400699019432068,-0.37621697783470154
33,0.026200000196695328,0.053199999034404755,0.03864999860525131,0.10724999755620956,0.26570001244544983,0.3269999921321869,0.35420000553131104,0.37790000438690186,0.17614999413490295,0.08910000324249268,0.8032327890396118,0.5980148911476135,-0.738831639289856,0.5351608991622925,-0.278225839138031
34,0.028699999675154686,0.052400000393390656,0.05389999970793724,0.11055000126361847,0.2186499983072281,0.26374998688697815,0.3043999969959259,0.3100999891757965,0.19245000183582306,0.10509999841451645,0.6991348266601562,0.48669108748435974,-0.7062780261039734,0.4671647250652313,-0.14971092343330383
35,0.06279999762773514,0.09359999746084213,0.1143999993801117,0.1761000007390976,0.250900000333786,0.28139999508857727,0.30379998683929443,0.3336000144481659,0.2912999987602234,0.18330000340938568,0.45289334654808044,0.24738243222236633,-0.5289381146430969,0.2660970687866211,0.05062801390886307
36,0.03359999880194664,0.056299999356269836,0.058400001376867294,0.12290000170469284,0.23810000717639923,0.2745000123977661,0.30079999566078186,0.32269999384880066,0.21150000393390656,0.11659999936819077,0.6748329401016235,0.4413033127784729,-0.6846821904182434,0.41987255215644836,-0.10673505067825317
37,0.042500000447034836,0.07109999656677246,0.07649999856948853,0.14059999585151672,0.25119999051094055,0.29725000262260437,0.33719998598098755,0.35089999437332153,0.218299999833107,0.12449999898672104,0.63016676902771,0.4606887400150299,-0.6517266631126404,0.4114692211151123,-0.12587100267410278
38,0.026149999350309372,0.05820000171661377,0.04724999889731407,0.12755000591278076,0.2921999990940094,0.35280001163482666,0.3693999946117401,0.40459999442100525,0.18815000355243683,0.09359999746084213,0.7731909155845642,0.5956803560256958,-0.7277829647064209,0.4866686463356018,-0.25382357835769653
39,0.03480000048875809,0.06120000034570694,0.06589999794960022,0.12600000202655792,0.2930000126361847,0.32919999957084656,0.37279999256134033,0.37380000948905945,0.19910000264644623,0.10320000350475311,0.6995669007301331,0.5663865208625793,-0.7179723381996155,0.4947874844074249,-0.21201308071613312
40,0.03400000184774399,0.06360000371932983,0.062199998646974564,0.13279999792575836,0.28029999136924744,0.3176000118255615,0.3472000062465668,0.3698999881744385,0.21950000524520874,0.11829999834299088,0.696140706539154,0.49172934889793396,-0.6903602480888367,0.4466666877269745,-0.15009805560112
41,0.031199999153614044,0.05939999967813492,0.052000001072883606,0.12245000153779984,0.2644500136375427,0.31474998593330383,0.334199994802475,0.3637000024318695,0.19979999959468842,0.10649999976158142,0.7307094931602478,0.5166780352592468,-0.6981707215309143,0.4637030363082886,-0.18405702710151672
