B4,B5,B6,B7,B8,OID,lon,lat,FuelClass,class_id,split,source
724,1488,3446,4126,4118,10001,172.59163913091749,-43.62494090574152,pasture,1,train,expansion
468,999,2675,3316,3454,10002,172.6332318722188,-43.614030522440814,pasture,1,train,expansion
553,851,1861,2256,2186,10003,172.61941380798388,-43.58666601712085,pasture,1,train,expansion
503,1171,3308,4015,4029,10004,172.59402584133414,-43.603673738112114,pasture,1,train,expansion
793,1362,2845,3461,3511,10005,172.5990531032975,-43.596182156110736,pasture,1,valid,expansion
483,771,1864,2290,2315,10006,172.6206339087145,-43.62001562111715,pasture,1,train,expansion
633,1247,3324,4143,3918,10007,172.59751452781202,-43.60994287588012,pasture,1,valid,expansion
660,1381,3367,4026,4229,10008,172.5868334713352,-43.62304834227556,pasture,1,valid,expansion
619,1298,3543,4371,4381,10009,172.601171173888,-43.60426120017376,pasture,1,valid,expansion
482,984,3072,3611,4116,10010,172.61666533290244,-43.59664444233606,pasture,1,train,expansion
496,1070,3037,3821,3845,10011,172.63658238289713,-43.61253057476843,pasture,1,train,expansion
573,1298,3541,4516,4505,10012,172.59271647394428,-43.61447563978901,pasture,1,train,expansion
398,921,3441,4337,4066,10013,172.59526779371654,-43.6145918893216,pasture,1,train,expansion
434,1083,3232,4033,4174,10014,172.5829572186535,-43.61861303636396,pasture,1,train,expansion
395,821,2609,2945,2630,10015,172.5910428591543,-43.62662160177292,pasture,1,valid,expansion
526,811,1914,2251,2103,10016,172.61898546286392,-43.58557397479169,pasture,1,train,expansion
661,1303,3275,4008,4674,10017,172.62242718791114,-43.58622206716691,pasture,1,train,expansion
434,1014,2965,3793,4008,10018,172.6152024372818,-43.619488041017775,pasture,1,train,expansion
479,1249,3651,4489,4675,10019,172.59245675222363,-43.626780435488136,pasture,1,train,expansion
790,1259,2781,3188,3469,10020,172.6382313107569,-43.60998504499545,pasture,1,train,expansion
459,740,2091,2717,2391,10021,172.61878846511152,-43.58602948026703,pasture,1,train,expansion
599,1227,3586,4441,4425,10022,172.5969693118139,-43.59812169059381,pasture,1,valid,expansion
418,896,2531,2887,2992,10023,172.62282661560073,-43.6300782497813,gorse_broom,2,train,expansion
521,923,2469,3077,2759,10024,172.59815148941232,-43.62222861158762,gorse_broom,2,valid,expansion
455,721,1866,2296,2197,10025,172.616138572323,-43.59841185344062,gorse_broom,2,valid,expansion
502,967,2354,2871,3088,10026,172.61158424421313,-43.6205406577864,gorse_broom,2,train,expansion
477,986,2682,3371,3385,10027,172.58380983550512,-43.60992730634012,gorse_broom,2,train,expansion
654,1136,2665,3282,2893,10028,172.60292556661713,-43.62328287782724,gorse_broom,2,train,expansion
482,960,2638,3494,3885,10029,172.61117779746522,-43.616538084231486,gorse_broom,2,train,expansion
470,915,2056,2509,2503,10030,172.62591359093628,-43.628919232324826,gorse_broom,2,train,expansion
471,767,1981,2462,2452,10031,172.61031665641144,-43.61883140032218,gorse_broom,2,valid,expansion
654,903,1421,1844,2074,10032,172.5882630028122,-43.60769949402905,gorse_broom,2,train,expansion
603,1135,2616,3086,3015,10033,172.58886965676888,-43.62147711042887,gorse_broom,2,valid,expansion
645,1107,2296,2722,2471,10034,172.5918785739325,-43.62107684411237,gorse_broom,2,valid,expansion
465,766,1960,2347,2404,10035,172.59751734532043,-43.62255166087886,gorse_broom,2,train,expansion
513,945,2615,3322,3368,10036,172.60067156565822,-43.625325448538206,gorse_broom,2,train,expansion
568,1176,2925,3534,3353,10037,172.6334007871921,-43.63390121098711,gorse_broom,2,valid,expansion
505,910,2474,3052,3033,10038,172.6196185789027,-43.59503618453687,gorse_broom,2,valid,expansion
487,757,1925,2352,2281,10039,172.61443721260684,-43.5979883560866,gorse_broom,2,train,expansion
505,913,2485,2982,3272,10040,172.59313193657744,-43.62429220637318,gorse_broom,2,train,expansion
711,1155,2250,2710,2758,10041,172.63137115764818,-43.63393151359704,gorse_broom,2,train,expansion
499,779,1831,2213,2163,10042,172.6111227265439,-43.617102905431246,gorse_broom,2,train,expansion
806,1162,2346,2776,2417,10043,172.61146856296006,-43.59574952595671,gorse_broom,2,train,expansion
485,1029,3263,4031,3937,10044,172.61835609512548,-43.61380221988564,gorse_broom,2,valid,expansion
325,544,1768,2380,2592,10045,172.58124388415683,-43.62862161628811,exotic_pine,3,train,expansion
412,598,1744,2169,2442,10046,172.63949995489375,-43.60772452012616,exotic_pine,3,train,expansion
439,686,1814,2168,2095,10047,172.61999497835046,-43.59106317307849,exotic_pine,3,train,expansion
513,753,1784,2052,2050,10048,172.63212502400503,-43.60404091473072,exotic_pine,3,valid,expansion
540,1119,2082,2568,2277,10049,172.63222458806018,-43.600663154059575,exotic_pine,3,valid,expansion
395,631,2090,2505,2501,10050,172.60881135790046,-43.60620084359218,exotic_pine,3,valid,expansion
304,451,1321,1680,1525,10051,172.63986013549297,-43.60476014723376,exotic_pine,3,train,expansion
299,443,1627,2115,2160,10052,172.6144242200899,-43.61319645575335,exotic_pine,3,valid,expansion
366,623,1678,2100,2095,10053,172.6289253912665,-43.603331407952496,exotic_pine,3,valid,expansion
349,552,1629,2043,1870,10054,172.62571758829574,-43.600086139696536,exotic_pine,3,valid,expansion
271,451,1396,1884,1714,10055,172.6263276181246,-43.60714909065634,exotic_pine,3,train,expansion
305,467,1520,2024,1943,10056,172.63192190260398,-43.60676020886433,exotic_pine,3,valid,expansion
288,481,1636,2164,1996,10057,172.6349890585699,-43.6077202974467,exotic_pine,3,train,expansion
346,721,2557,3192,3205,10058,172.61833171752326,-43.6081655147585,exotic_pine,3,train,expansion
527,977,2106,2458,2439,10059,172.58718356773784,-43.63215437615301,exotic_pine,3,train,expansion
