FuelClass,class_id,split,PortHills2017_stack_pre_B2,PortHills2017_stack_pre_B3,PortHills2017_stack_pre_B4,PortHills2017_stack_pre_B5,PortHills2017_stack_pre_B6,PortHills2017_stack_pre_B7,PortHills2017_stack_post_B2,PortHills2017_stack_post_B3,PortHills2017_stack_post_B4,PortHills2017_stack_post_B5,PortHills2017_stack_post_B6,PortHills2017_stack_post_B7,PortHills2017_stack_NBR_pre,PortHills2017_stack_NBR_post,PortHills2017_stack_dNBR,PortHills2017_stack_NDVI,PortHills2017_stack_BSI,PortHills2017_stack_severity,PortHills2017_stack_valid_data,PortHills2017_stack_elev,PortHills2017_stack_slope,PortHills2017_stack_northness
gorse_broom,2,valid,0.036967501044273376,0.0628724992275238,0.06076874956488609,0.31429123878479004,0.19802124798297882,0.09951625019311905,0.0685650035738945,0.07200250029563904,0.07940000295639038,0.12276750057935715,0.17730000615119934,0.1912975013256073,0.5190215110778809,-0.21820323169231415,616.7651977539062,0.6759518384933472,-0.1515759974718094,2.0,1.0,133.0,19.70519256591797,-0.04519778490066528
gorse_broom,2,valid,0.02236500009894371,0.0368025004863739,0.03240250051021576,0.22531500458717346,0.1207050010561943,0.062130000442266464,-0.001257500029169023,0.005975000094622374,0.002675000112503767,0.030697500333189964,0.08083000034093857,0.0765950009226799,0.5677086114883423,-0.4277791976928711,875.0281982421875,0.7485424876213074,-0.23596669733524323,3.0,1.0,183.0,15.428921699523926,-0.586536705493927
gorse_broom,2,train,0.03134375065565109,0.05506249889731407,0.05739999935030937,0.3136037588119507,0.16741375625133514,0.08439125120639801,0.012698750011622906,0.026297500357031822,0.026930000633001328,0.055928751826286316,0.08697625249624252,0.09138999879360199,0.5759180188179016,-0.24071104824543,696.1694946289062,0.6905691623687744,-0.21084928512573242,3.0,1.0,245.0,19.249019622802734,0.2781432271003723
gorse_broom,2,train,0.03215499967336655,0.060452498495578766,0.05860999971628189,0.34826749563217163,0.17333999276161194,0.0869624987244606,0.0428524985909462,0.06952749937772751,0.0803074985742569,0.1471325010061264,0.13602249324321747,0.1100350022315979,0.6003836989402771,0.14425423741340637,335.6698913574219,0.71190345287323,-0.24245455861091614,2.0,1.0,50.0,17.138671875,-0.9973684549331665
gorse_broom,2,train,0.0409962497651577,0.06519625335931778,0.07742000371217728,0.28415125608444214,0.2116200029850006,0.11714375019073486,0.03974499925971031,0.04556125029921532,0.047885000705718994,0.09543249756097794,0.14962124824523926,0.14896124601364136,0.4161714017391205,-0.21902666985988617,514.7384643554688,0.571757972240448,-0.058789052069187164,2.0,1.0,116.0,20.722354888916016,0.9841514229774475
gorse_broom,2,train,0.036032501608133316,0.06631000339984894,0.06501749902963638,0.3350675106048584,0.21571749448776245,0.11124499887228012,0.030738750472664833,0.06235000118613243,0.06448125094175339,0.1753612458705902,0.14912624657154083,0.11473750323057175,0.5014927983283997,0.20897625386714935,172.05694580078125,0.6749815940856934,-0.13863171637058258,1.0,1.0,304.0,5.283184051513672,-0.8752872943878174
gorse_broom,2,train,0.017772499471902847,0.03936000168323517,0.027204999700188637,0.29260748624801636,0.10761500149965286,0.04604249820113182,0.02143000066280365,0.026077499613165855,0.02758999913930893,0.0562174990773201,0.06317500025033951,0.057042498141527176,0.7280821204185486,-0.007284124847501516,614.9066162109375,0.8298690915107727,-0.3943396210670471,2.0,1.0,454.0,16.980894088745117,-0.4770992696285248
gorse_broom,2,valid,0.019999999552965164,0.04304499924182892,0.029487499967217445,0.3059999942779541,0.11278499662876129,0.05107500031590462,0.01337250042706728,0.02353375032544136,0.023176249116659164,0.04688125103712082,0.06956875324249268,0.07992249727249146,0.7139256596565247,-0.2605699896812439,854.0360107421875,0.824211061000824,-0.3923516869544983,3.0,1.0,265.0,18.098920822143555,-0.9905941486358643
gorse_broom,2,train,0.04026750102639198,0.06080999970436096,0.07356999814510345,0.2687374949455261,0.1983650028705597,0.10802750289440155,0.02735625021159649,0.04278374835848808,0.04389749839901924,0.10674875229597092,0.11411874741315842,0.09352125227451324,0.42655235528945923,0.06604833155870438,240.04443359375,0.5701525807380676,-0.06381037831306458,1.0,1.0,107.0,16.425016403198242,-0.9884303212165833
gorse_broom,2,valid,0.03713250160217285,0.065870001912117,0.06787750124931335,0.3275049924850464,0.22039249539375305,0.11811999976634979,0.04949374869465828,0.06905999779701233,0.07071000337600708,0.12296000123023987,0.16628624498844147,0.16980625689029694,0.46986815333366394,-0.16001246869564056,509.4210510253906,0.6566489338874817,-0.11696526408195496,2.0,1.0,119.0,20.46906852722168,0.9540853500366211
gorse_broom,2,valid,0.03636249899864197,0.06075499951839447,0.06097500026226044,0.2682425081729889,0.1923699975013733,0.10379250347614288,0.061057500541210175,0.07172749936580658,0.0772550031542778,0.11889000236988068,0.17191000282764435,0.19696250557899475,0.44202831387519836,-0.2471802532672882,568.7489624023438,0.6295762062072754,-0.09187202900648117,2.0,1.0,138.0,30.396236419677734,0.9934394955635071
gorse_broom,2,train,0.02558249980211258,0.04472250118851662,0.036389999091625214,0.2990424931049347,0.14614249765872955,0.06955499947071075,0.06641999632120132,0.07145249843597412,0.07590749859809875,0.10709249973297119,0.15934249758720398,0.19055500626564026,0.6225964426994324,-0.280407190322876,782.5440673828125,0.783026397228241,-0.2801743149757385,3.0,1.0,144.0,20.9688777923584,-0.1267174482345581
gorse_broom,2,train,0.02879999950528145,0.052889999002218246,0.042096249759197235,0.35026124119758606,0.16297249495983124,0.0768975019454956,0.0592150017619133,0.06380750238895416,0.06785000115633011,0.09650500118732452,0.14344750344753265,0.17248749732971191,0.6399582028388977,-0.282470703125,801.9692993164062,0.7854189276695251,-0.2978660464286804,3.0,1.0,205.0,19.040199279785156,0.8912095427513123
gorse_broom,2,valid,0.029404999688267708,0.06259749829769135,0.03890625014901161,0.5717187523841858,0.21020375192165375,0.08298874646425247,0.04738999903202057,0.05698750168085098,0.06168999895453453,0.09149999916553497,0.132750004529953,0.14812250435352325,0.7464860081672668,-0.23629875481128693,862.3251953125,0.8725690841674805,-0.41401997208595276,3.0,1.0,190.0,22.629648208618164,0.6601434946060181
gorse_broom,2,valid,0.03366750106215477,0.055640000849962234,0.05748249962925911,0.3537675142288208,0.18887749314308167,0.09218750149011612,0.030147500336170197,0.05385249853134155,0.056299999356269836,0.12474749982357025,0.1920125037431717,0.200592502951622,0.5865614414215088,-0.23312534391880035,699.2271728515625,0.7204498648643494,-0.22258774936199188,3.0,1.0,108.0,28.249425888061523,0.6628078818321228
gorse_broom,2,train,0.024592500180006027,0.04255000129342079,0.037324998527765274,0.2512750029563904,0.1264525055885315,0.06554000079631805,-0.04665999859571457,-0.013302500359714031,-0.013522500172257423,0.024785000830888748,0.06691499799489975,0.06933499872684479,0.5862569808959961,-0.47333192825317383,939.1292724609375,0.7413374781608582,-0.2549557089805603,3.0,1.0,170.0,13.281778335571289,-0.8229179382324219
gorse_broom,2,train,0.02871749922633171,0.05646499991416931,0.05079999938607216,0.35085248947143555,0.16448499262332916,0.08344250172376633,0.05360500141978264,0.06248750165104866,0.06633750349283218,0.10398499667644501,0.16046999394893646,0.18755750358104706,0.6157335638999939,-0.28665632009506226,781.9302978515625,0.7470450401306152,-0.2761765420436859,3.0,1.0,217.0,17.096202850341797,1.0
gorse_broom,2,train,0.031206250190734863,0.06367000192403793,0.047279998660087585,0.4809274971485138,0.21074000000953674,0.0898362472653389,0.05393499881029129,0.06518249958753586,0.06870249658823013,0.09312249720096588,0.11385750025510788,0.12018249928951263,0.6852068901062012,-0.1268606036901474,691.60791015625,0.8209794163703918,-0.3299519717693329,3.0,1.0,251.0,27.680652618408203,0.5863109827041626
gorse_broom,2,train,0.02143000066280365,0.04318249970674515,0.03218249976634979,0.2885099947452545,0.11179500073194504,0.05280749872326851,-0.004818750079721212,0.023561250418424606,0.02250250056385994,0.06412374973297119,0.07454624772071838,0.07644374668598175,0.6905667185783386,-0.08764472603797913,657.7518310546875,0.7992936968803406,-0.3656226098537445,2.0,1.0,296.0,11.948954582214355,-0.9944025278091431
gorse_broom,2,train,0.04296249896287918,0.06661249697208405,0.07937250286340714,0.32959499955177307,0.19613750278949738,0.11316999793052673,0.014940000139176846,0.04684000089764595,0.041120000183582306,0.17160749435424805,0.14086249470710754,0.11795499920845032,0.48880332708358765,0.18528814613819122,183.05557250976562,0.6118395924568176,-0.1497490555047989,1.0,1.0,143.0,19.652753829956055,-0.7252548933029175
gorse_broom,2,valid,0.020659999921917915,0.034396249800920486,0.028923749923706055,0.28877124190330505,0.119439996778965,0.05591500177979469,0.039992500096559525,0.0679050013422966,0.06941749900579453,0.21483750641345978,0.13189749419689178,0.10280250012874603,0.6755599975585938,0.3527106046676636,202.3898162841797,0.8179149627685547,-0.3518332540988922,1.0,1.0,267.0,23.156633377075195,0.908351719379425
exotic_pine,3,train,0.01199750043451786,0.02404250018298626,0.01521500013768673,0.22886249423027039,0.07453250139951706,0.03402499854564667,0.017194999381899834,0.03067000024020672,0.028139999136328697,0.17617249488830566,0.06732749938964844,0.04142250120639801,0.7411440014839172,0.6192697286605835,1.4146887063980103,0.8753264546394348,-0.45707523822784424,0.0,1.0,133.0,20.07574462890625,-0.9301583170890808
exotic_pine,3,train,0.01852875016629696,0.03161875158548355,0.021553749218583107,0.24412499368190765,0.09394749999046326,0.04707375168800354,0.029817499220371246,0.054567500948905945,0.05275249853730202,0.1930299997329712,0.09705500304698944,0.0638900026679039,0.676689863204956,0.5026467442512512,53.58355712890625,0.8377457857131958,-0.3891327679157257,0.0,1.0,274.0,23.71833038330078,0.9948079586029053
exotic_pine,3,train,0.022337500005960464,0.034575000405311584,0.028689999133348465,0.1672074943780899,0.1043974980711937,0.05212000012397766,None,None,None,None,None,None,0.5247290134429932,None,None,0.7070916891098022,-0.17499011754989624,None,0.0,101.0,20.73948860168457,-0.6412584185600281
exotic_pine,3,valid,0.024441249668598175,0.03718750178813934,0.03218249976634979,0.23661750555038452,0.11080499738454819,0.0667637512087822,0.04623499885201454,0.06853750348091125,0.07439500093460083,0.14432750642299652,0.1297525018453598,0.10629499703645706,0.5598689913749695,0.15175214409828186,287.6572570800781,0.760546863079071,-0.29222211241722107,2.0,1.0,320.0,22.94051742553711,0.9944050312042236
exotic_pine,3,valid,0.02858000062406063,0.043787501752376556,0.04202749952673912,0.271253764629364,0.13602249324321747,0.07735124975442886,None,None,None,None,None,None,0.5562241077423096,None,None,0.731694757938385,-0.254839688539505,None,0.0,163.0,28.9984073638916,0.6425193548202515
