FuelClass,class_id,split,pre_B2,pre_B3,pre_B4,pre_B5,pre_B6,pre_B7,post_B2,post_B3,post_B4,post_B5,post_B6,post_B7,NBR_pre,NBR_post,dNBR,NDVI,BSI,severity,valid_data,elev,slope,northness,OID,X,Y,source
pasture,1,valid,0.0472799986600875,0.0893274992704391,0.0889149978756904,0.4153675138950348,0.3023425042629242,0.1739725023508072,0.0654850006103515,0.1042324975132942,0.1122350022196769,0.3338299989700317,0.282432496547699,0.1729550063610077,0.4096022546291351,0.3174422979354858,-28.299633026123047,0.6473603844642639,-0.0836041495203971,0.0,1.0,309.0,2.7228498458862305,0.3403759598731994,34,1568565.1255,5170723.8009,original_211
pasture,1,train,0.0269850008189678,0.0538799986243248,0.0487374998629093,0.2566649913787842,0.1452074944972992,0.071782499551773,0.0382325015962123,0.0634500011801719,0.0653475001454353,0.1123725026845932,0.1036000028252601,0.0856700018048286,0.5628981590270996,0.1348321735858917,307.6064147949219,0.6808310151100159,-0.1878264993429184,2.0,1.0,398.0,28.38698005676269,0.1198196932673454,38,1571510.3233000005,5172151.5723,original_211
pasture,1,train,0.0586924999952316,0.0998049974441528,0.1271674931049347,0.3804149925708771,0.2992900013923645,0.1571425050497055,0.0562724992632865,0.0585824996232986,0.0634225010871887,0.0947175025939941,0.1344275027513504,0.1472149938344955,0.4153462648391723,-0.2169923484325409,511.8790283203125,0.4989287555217743,-0.0146147310733795,2.0,1.0,154.0,11.948966026306152,0.9944015741348268,39,1566387.0510999998,5169966.9011,original_211
pasture,1,train,0.0312475003302097,0.066722497344017,0.0578950010240078,0.3928174972534179,0.2032050043344497,0.1085499972105026,0.060479998588562,0.0875950008630752,0.102802500128746,0.2506974935531616,0.2405775040388107,0.1553274989128112,0.5669842958450317,0.2348870187997818,211.6376953125,0.7430956363677979,-0.2378478199243545,1.0,1.0,430.0,4.49961519241333,0.8228111863136292,40,1569534.4752000002,5170017.1707,original_211
pasture,1,train,0.0384662486612796,0.0706825032830238,0.0736937522888183,0.3415987491607666,0.2117574959993362,0.1115887463092804,0.0571799986064434,0.0809675008058548,0.0944425016641616,0.2058175057172775,0.202517494559288,0.1390475034713745,0.5075382590293884,0.1936119943857193,193.46669006347656,0.6450995206832886,-0.1421659439802169,1.0,1.0,355.0,6.301095008850098,0.5864052176475525,41,1569081.2887000004,5170357.3242,original_211
pasture,1,valid,0.041422501206398,0.0729925036430358,0.0789875015616417,0.2910124957561493,0.2155250012874603,0.1289000064134597,0.0796887502074241,0.109264999628067,0.117927499115467,0.2498312443494796,0.2209562510251999,0.1731337457895279,0.3860625624656677,0.1813329756259918,84.27001190185547,0.5730405449867249,-0.0604875199496746,0.0,1.0,188.0,12.829111099243164,-0.9951696991920472,44,1567765.8847000003,5171726.9024,original_211
pasture,1,valid,0.0336675010621547,0.0603974983096122,0.05918750166893,0.3300074934959411,0.1657225042581558,0.0929574966430664,0.0433750003576278,0.075288750231266,0.0822599977254867,0.2053775042295456,0.2008537501096725,0.1842575073242187,0.5604482889175415,0.0542045757174491,385.7840881347656,0.6958465576171875,-0.2357603460550308,2.0,1.0,51.0,21.77926445007324,0.4456631243228912,45,1568377.8450999996,5172036.055,original_211
pasture,1,train,0.054017499089241,0.0919400006532669,0.1204850003123283,0.3480750024318695,0.2407149970531463,0.1237024962902069,0.0397724993526935,0.0456300005316734,0.047664999961853,0.0733224973082542,0.0956799983978271,0.1100625023245811,0.4755896627902984,-0.2003435343503952,555.4736328125,0.4857222139835357,-0.0535738281905651,2.0,1.0,119.0,13.692830085754396,0.9301745295524596,46,1566136.0943,5170156.0674,original_211
pasture,1,valid,0.0517624989151954,0.0849549993872642,0.1054700016975402,0.3575625121593475,0.2376900017261505,0.1240874975919723,0.0446675010025501,0.0554750002920627,0.0571524985134601,0.1385249942541122,0.1642100065946579,0.1248300001025199,0.4847399592399597,0.0520020499825477,312.2783203125,0.5444380044937134,-0.0879286602139473,2.0,1.0,163.0,2.252946138381958,-0.8229338526725769,47,1568618.4579999996,5173091.7804,original_211
pasture,1,valid,0.0249637495726346,0.0501812510192394,0.0449424982070922,0.3263500034809112,0.1282262504100799,0.0659800022840499,0.0163562502712011,0.0254037491977214,0.0238087493926286,0.060768749564886,0.0663100033998489,0.0581287518143653,0.6636505126953125,0.0222039986401796,520.9868774414062,0.7579132318496704,-0.3396586179733276,2.0,1.0,242.0,14.182428359985352,-0.8967846632003784,48,1566887.1069,5169503.8012,original_211
pasture,1,train,0.0490950010716915,0.0756874978542327,0.1050025001168251,0.3155424892902374,0.2598825097084045,0.1329700052738189,0.0461112484335899,0.0813525021076202,0.0821087509393692,0.2119912505149841,0.1780837476253509,0.1428012549877166,0.4070622324943542,0.195015400648117,91.58724212646484,0.500636100769043,0.0003392630023881,0.0,1.0,88.0,18.263221740722656,0.7357934713363647,49,1569513.6097999995,5174048.8335,original_211
pasture,1,train,0.0471974983811378,0.0786850005388259,0.1025274991989135,0.3144150078296661,0.2209150046110153,0.1205400004982948,0.0476925000548362,0.0731162503361702,0.0687437504529953,0.1945150047540664,0.1847387552261352,0.1425675004720688,0.44573575258255,0.1541091501712799,171.16702270507812,0.5081935524940491,-0.0557181537151336,1.0,1.0,158.0,8.903410911560059,0.5166634917259216,50,1567077.5329999998,5172131.2726,original_211
gorse_broom,2,train,0.0287999995052814,0.0547050014138221,0.0608924999833107,0.3393850028514862,0.1618725061416626,0.0824249982833862,0.0470050014555454,0.0746975019574165,0.0824249982833862,0.1592050045728683,0.1411650031805038,0.115617498755455,0.609184205532074,0.1586023718118667,330.12225341796875,0.6957485675811768,-0.2460783421993255,2.0,1.0,305.0,6.945517063140869,-0.9301832318305968,52,1568746.7684000004,5170630.6874,original_211
gorse_broom,2,train,0.0340249985456466,0.0595724992454052,0.0541549995541572,0.3328950107097626,0.1849450021982193,0.0901800021529197,0.071782499551773,0.075604997575283,0.0820399969816207,0.1225474998354911,0.1939650028944015,0.2316949963569641,0.5736926198005676,-0.3081152141094208,761.3482055664062,0.7201653718948364,-0.210917130112648,3.0,1.0,107.0,24.321697235107425,0.8953942060470581,53,1567472.0968000004,5170136.6197,original_211
gorse_broom,2,train,0.0221724994480609,0.0606174990534782,0.03167375177145,0.4939762353897095,0.1609787493944168,0.061854999512434,0.035895001143217,0.049150001257658,0.0581150017678737,0.1585174947977066,0.1399825066328048,0.1041224971413612,0.7774324417114258,0.207108587026596,449.8642578125,0.8794872760772705,-0.4563990831375122,2.0,1.0,439.0,30.62241554260254,0.3281712234020233,54,1569885.6754,5168809.8414,original_211
