SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,point_id,lon,lat,FuelClass,class_id,split,yellow_index,NDVI_spring
0.016369999999999996,0.024812499999999987,0.019202499999999983,0.16982000000000003,0.09925499999999998,0.04926,59,172.6192036,-43.6299116,gorse_broom,2,train,0.00563749999999999,0.7968231295216179
0.032704999999999984,0.04997499999999999,0.04738999999999999,0.2679125,0.1999325,0.09876000000000001,60,172.6009357,-43.6248016,gorse_broom,2,valid,0.015977500000000006,0.6993997827483132
0.025692500000000007,0.0474725,0.03751750000000001,0.35035750000000004,0.15211000000000002,0.06710749999999999,61,172.628039,-43.6295863,gorse_broom,2,train,0.016802499999999998,0.8065485014502093
0.05223,0.08206750000000002,0.08019749999999998,0.2678575,0.2813325,0.16368749999999999,62,172.6052165,-43.6138285,gorse_broom,2,train,0.028902499999999998,0.539167660283576
0.028992500000000004,0.05286249999999998,0.04805000000000001,0.2557575,0.1497175,0.07615499999999997,63,172.6051093,-43.6291328,gorse_broom,2,train,0.02146374999999999,0.6836812784411181
0.04277,0.05976500000000001,0.056410000000000016,0.2087325,0.1932775,0.11300500000000002,64,172.6026492,-43.612563,gorse_broom,2,train,0.015317500000000012,0.5744929613321138
0.047609999999999986,0.06774000000000002,0.07332250000000001,0.28108500000000003,0.2722575,0.15056999999999998,65,172.6020662,-43.6118934,gorse_broom,2,train,0.022921250000000032,0.5862248964821568
0.018927499999999986,0.02530750000000001,0.01848749999999999,0.15983750000000002,0.09320499999999998,0.0447225,66,172.6217877,-43.6303492,gorse_broom,2,train,0.0029700000000000143,0.7926538623300156
0.02995500000000001,0.05696000000000001,0.049479999999999996,0.3699925,0.1655025,0.0832775,67,172.6033571,-43.6288535,gorse_broom,2,train,0.023264999999999994,0.7640846539403655
0.030340000000000006,0.05731750000000002,0.054759999999999975,0.31675250000000005,0.1755675,0.0895475,68,172.6109775,-43.6062295,gorse_broom,2,valid,0.025698749999999992,0.7052050738535044
0.034052499999999986,0.05599749999999998,0.05437500000000001,0.30091249999999997,0.1790875,0.09061999999999998,69,172.6210775,-43.6190851,gorse_broom,2,valid,0.021133750000000007,0.6939098617316961
0.020494999999999985,0.0382875,0.03523499999999999,0.25925,0.13046750000000001,0.06160749999999998,70,172.6245281,-43.6327208,gorse_broom,2,train,0.01626625000000001,0.7607008845951406
0.021127499999999994,0.03438250000000001,0.0325675,0.2046075,0.11196,0.05893999999999999,71,172.6196477,-43.6186024,gorse_broom,2,valid,0.012347500000000011,0.725371561083588
0.02464749999999999,0.045630000000000004,0.04497000000000001,0.206395,0.12593,0.06749250000000001,72,172.6160495,-43.6021804,gorse_broom,2,valid,0.020652500000000018,0.642193622819406
0.01999999999999999,0.044639999999999985,0.04565749999999999,0.17454999999999998,0.10923749999999999,0.05586000000000002,73,172.58154,-43.6262747,gorse_broom,2,train,0.025148749999999997,0.5853229340508385
0.02704000000000001,0.04884749999999999,0.047967499999999996,0.219375,0.1345925,0.07489000000000001,74,172.5905991,-43.6218407,gorse_broom,2,valid,0.021367499999999984,0.6411532023527872
0.036032499999999995,0.062267499999999976,0.061167499999999986,0.255015,0.1779325,0.1084675,75,172.6256191,-43.6301905,gorse_broom,2,train,0.025684999999999986,0.6130873783337155
0.02615999999999999,0.0414775,0.04285249999999999,0.19831,0.13318999999999998,0.078575,76,172.6154698,-43.624352,gorse_broom,2,train,0.016005000000000005,0.6446172186803505
0.0174425,0.02833250000000001,0.020604999999999984,0.18384499999999998,0.07662249999999998,0.0414225,77,172.6102217,-43.6033514,gorse_broom,2,train,0.007026249999999998,0.7984348251406213
0.019504999999999995,0.032484999999999986,0.026654999999999984,0.30682499999999996,0.09867749999999997,0.04480500000000001,78,172.6392652,-43.6363229,gorse_broom,2,train,0.01006499999999999,0.8401403382511695
0.02896499999999999,0.049315,0.04508000000000001,0.29896,0.13473000000000002,0.06765749999999998,79,172.6098036,-43.6055821,gorse_broom,2,valid,0.018232500000000013,0.7379374491338216
0.03669249999999999,0.06438500000000003,0.05586000000000002,0.33349999999999996,0.20199499999999998,0.09867749999999997,80,172.6237944,-43.6208832,gorse_broom,2,train,0.023430000000000034,0.7130675981097184
0.029817499999999997,0.0503325,0.050167499999999976,0.3276425,0.16173500000000002,0.0808025,81,172.6159146,-43.6126198,gorse_broom,2,train,0.020432499999999992,0.7344300044996164
0.015875,0.033062499999999995,0.033805,0.1463625,0.08140750000000002,0.038122500000000004,82,172.6167298,-43.6247873,gorse_broom,2,train,0.017558749999999998,0.6247380909431501
0.0353725,0.06402750000000001,0.06083749999999999,0.34483,0.1734775,0.08545000000000003,83,172.619367,-43.6150883,gorse_broom,2,train,0.02706,0.7000622430931737
0.023217500000000002,0.05497999999999997,0.056987500000000024,0.24583,0.1251875,0.0657875,84,172.6136304,-43.6219667,gorse_broom,2,valid,0.03276625,0.6236181858710278
0.036555000000000004,0.06644749999999999,0.06072749999999999,0.36352999999999996,0.22011750000000002,0.10624,85,172.6012175,-43.6265382,gorse_broom,2,valid,0.027032499999999987,0.7137233873296288
0.011970000000000008,0.024400000000000005,0.01843249999999999,0.09359,0.061470000000000025,0.033915,86,172.5911173,-43.6160408,gorse_broom,2,valid,0.00944624999999999,0.6709143252471603
0.02912999999999999,0.054485000000000006,0.04288,0.41446,0.17862,0.07887749999999999,87,172.6294645,-43.630857,gorse_broom,2,train,0.019552500000000014,0.8124808676258365
0.014967499999999995,0.022474999999999995,0.01650750000000001,0.14058749999999998,0.08110499999999998,0.037709999999999994,88,172.621939,-43.6290501,gorse_broom,2,train,0.004523750000000007,0.7898405423469874
0.027535000000000004,0.050470000000000015,0.039470000000000005,0.38294500000000004,0.1586825,0.072855,89,172.6351292,-43.6356533,gorse_broom,2,train,0.017435000000000006,0.8131221665897281
0.029294999999999988,0.058087500000000014,0.05297249999999998,0.394055,0.18621,0.08201249999999999,90,172.6273789,-43.6313546,gorse_broom,2,train,0.02623500000000001,0.763001157646901
0.011502499999999999,0.014940000000000009,0.008807499999999996,0.08973999999999999,0.0478025,0.02156749999999999,91,172.6201458,-43.6309275,gorse_broom,2,train,0.0003712500000000035,0.8212537101397803
0.041614999999999985,0.07082,0.0658975,0.4022225,0.23978,0.11338999999999999,92,172.6131517,-43.6082277,gorse_broom,2,valid,0.02674375000000001,0.718458942151585
0.018762499999999988,0.028772500000000006,0.026269999999999988,0.1344825,0.08575250000000001,0.049177499999999985,93,172.6462435,-43.601409,gorse_broom,2,train,0.00875875000000001,0.673162159219919
0.0325675,0.056574999999999986,0.05745499999999998,0.30248,0.19289250000000002,0.09988750000000002,94,172.6010024,-43.6281705,gorse_broom,2,valid,0.024447499999999983,0.6807479128175922
0.037022499999999986,0.0599575,0.05407250000000002,0.3473325,0.19550499999999998,0.09598250000000003,95,172.6197353,-43.5945371,gorse_broom,2,valid,0.019992500000000024,0.7305838243170861
0.035922499999999996,0.05712499999999998,0.05308249999999998,0.3643825,0.19083,0.09523999999999999,96,172.6149666,-43.6104428,gorse_broom,2,train,0.019181249999999983,0.7456912555543579
0.017937499999999995,0.03982749999999999,0.037022499999999986,0.17509999999999998,0.0955975,0.0474725,97,172.6046161,-43.6228312,gorse_broom,2,train,0.020487499999999992,0.6509328336220817
0.04252249999999999,0.07659500000000002,0.07566,0.2811675,0.20337,0.12406,98,172.6002123,-43.6123382,gorse_broom,2,train,0.033605000000000024,0.5759295457889316
