FuelClass,class_id,split,PortHills2017_stack_pre_B2,PortHills2017_stack_pre_B3,PortHills2017_stack_pre_B4,PortHills2017_stack_pre_B5,PortHills2017_stack_pre_B6,PortHills2017_stack_pre_B7,PortHills2017_stack_post_B2,PortHills2017_stack_post_B3,PortHills2017_stack_post_B4,PortHills2017_stack_post_B5,PortHills2017_stack_post_B6,PortHills2017_stack_post_B7,PortHills2017_stack_NBR_pre,PortHills2017_stack_NBR_post,PortHills2017_stack_dNBR,PortHills2017_stack_NDVI,PortHills2017_stack_BSI,PortHills2017_stack_severity,PortHills2017_stack_valid_data,PortHills2017_stack_elev,PortHills2017_stack_slope,PortHills2017_stack_northness
gorse_broom,2,train,0.026998750865459442,0.05074499920010567,0.038878750056028366,0.3555000126361847,0.14732499420642853,0.06930749863386154,0.06471499800682068,0.07136999815702438,0.07846499979496002,0.10736750066280365,0.1599474996328354,0.19325000047683716,0.6736992597579956,-0.2856869697570801,838.9266357421875,0.8028354644775391,-0.34516289830207825,3.0,1.0,261.0,18.295654296875,0.9791950583457947
gorse_broom,2,train,0.046509999781847,0.0783962532877922,0.08208125084638596,0.3136174976825714,0.2512887418270111,0.1397075057029724,0.05799125134944916,0.09114249795675278,0.08727875351905823,0.2179725021123886,0.1902800053358078,0.14519375562667847,0.3836320638656616,0.20040063560009003,62.77181625366211,0.5851326584815979,-0.038583412766456604,0.0,1.0,179.0,12.595151901245117,0.4346923232078552
gorse_broom,2,train,0.04912250116467476,0.08737500011920929,0.09928250312805176,0.3243424892425537,0.30195748805999756,0.18197500705718994,0.03509749844670296,0.059324998408555984,0.06103000044822693,0.19260375201702118,0.17312000691890717,0.10852249711751938,0.28118225932121277,0.2792225778102875,-118.49991607666016,0.531271755695343,0.03585235774517059,0.0,1.0,166.0,10.302170753479004,0.17811273038387299
gorse_broom,2,train,0.015985000878572464,0.03319999948143959,0.02175999991595745,0.2418700009584427,0.09191250056028366,0.03856249898672104,0.014417500235140324,0.03204499930143356,0.023520000278949738,0.20589999854564667,0.083965003490448,0.03944249823689461,0.7249783873558044,0.6784698963165283,-73.95110321044922,0.8349201679229736,-0.38808029890060425,0.0,1.0,355.0,20.573646545410156,-0.3018895983695984
gorse_broom,2,train,0.030697500333189964,0.0598750002682209,0.04980999976396561,0.37950751185417175,0.16170750558376312,0.08124250173568726,0.05616249889135361,0.05902250111103058,0.06845500320196152,0.10051999986171722,0.13967999815940857,0.1589300036430359,0.6473467350006104,-0.2251300811767578,752.0172119140625,0.7679572701454163,-0.31957584619522095,3.0,1.0,263.0,18.09897232055664,0.9905911684036255
gorse_broom,2,valid,0.025994999334216118,0.05561250075697899,0.04066624864935875,0.402415007352829,0.16293124854564667,0.07266250252723694,0.04843499884009361,0.05874750018119812,0.06356000155210495,0.10651499778032303,0.1361600011587143,0.13450999557971954,0.6941025257110596,-0.11614977568387985,689.792724609375,0.8164388537406921,-0.35571175813674927,3.0,1.0,372.0,11.202692985534668,0.7356064915657043
gorse_broom,2,valid,0.024125000461935997,0.03957999870181084,0.04215124994516373,0.15590499341487885,0.15536874532699585,0.08327750116586685,0.04100999981164932,0.050882499665021896,0.05547500029206276,0.08676999807357788,0.10244499891996384,0.10593750327825546,0.3036488890647888,-0.09946421533823013,282.65350341796875,0.5743507146835327,0.046324990689754486,2.0,1.0,352.0,16.407257080078125,0.5497562289237976
gorse_broom,2,valid,0.024716250598430634,0.04253625124692917,0.03581250086426735,0.27378374338150024,0.1350325047969818,0.06860624998807907,-0.09635250270366669,-0.027822500094771385,-0.033900000154972076,0.04565750062465668,0.15970000624656677,0.17114000022411346,0.599250853061676,-0.5788004994392395,1057.591796875,0.7686502933502197,-0.27198541164398193,3.0,1.0,152.0,18.490154266357422,0.6777091026306152
gorse_broom,2,train,0.03044999949634075,0.05496624857187271,0.05401749908924103,0.263691246509552,0.17635124921798706,0.08523000031709671,0.05212000012397766,0.0662275031208992,0.07434000074863434,0.11831250041723251,0.21912750601768494,0.26546499133110046,0.5114656686782837,-0.3834317922592163,774.4379272460938,0.6599558591842651,-0.12158490717411041,3.0,1.0,150.0,8.424798011779785,0.6557761430740356
gorse_broom,2,valid,0.027370000258088112,0.04810500144958496,0.0501675009727478,0.26287999749183655,0.15002000331878662,0.07244250178337097,0.06097500026226044,0.0675475001335144,0.07252500206232071,0.11636000126600266,0.1461700052022934,0.16311000287532806,0.5679234266281128,-0.16728092730045319,614.7447509765625,0.6794895529747009,-0.18363705277442932,2.0,1.0,165.0,20.427518844604492,0.4346369504928589
